,client_id,activation_id,start_time,end_time,diff
35,22.0,6a85f5e59060404685f5e590603046cf,1600856750.078259,1600856763.899634,13.821374893188477
36,75.0,7a95552e621a443895552e621a34381d,1600856750.2163908,1600856759.902643,9.686252117156982
37,70.0,c7fd5daaffe94ed6bd5daaffe9eed60d,1600856750.31762,1600856766.660877,16.343256950378418
38,74.0,7abfe79da914498cbfe79da914498cf7,1600856750.4251761,1600856763.951533,13.526356935501099
39,53.0,c55d4d23a987425e9d4d23a987425efd,1600856750.5241039,1600856770.0919628,19.567858934402466
40,68.0,79492489ef674d41892489ef67bd41e2,1600856750.626135,1600856763.999501,13.373365879058838
41,8.0,7372d603a9514519b2d603a951f519de,1600856750.725018,1600856760.0691452,9.344127178192139
42,73.0,34f05927a79141bfb05927a791a1bf3a,1600856750.8254259,1600856766.705332,15.879906177520752
43,72.0,1a3cf03d8c984e1fbcf03d8c98be1fdb,1600856750.931222,1600856764.0514948,13.120272874832153
44,11.0,9a02294cd0ed456d82294cd0ed956daa,1600856751.0318332,1600856768.597777,17.565943717956543
45,32.0,cec2f0d8954c41bc82f0d8954cd1bcdd,1600856751.1360588,1600856764.099452,12.963393211364746
46,60.0,d1d7e5912e81489097e5912e811890f8,1600856751.2366312,1600856766.750674,15.514042854309082
47,18.0,75b0ef1a210b4155b0ef1a210b9155de,1600856751.336996,1600856764.143928,12.806931972503662
48,85.0,8382d7d3ce3845a682d7d3ce3895a68a,1600856751.439368,1600856772.599168,21.159800052642822
49,99.0,6838046fdf074b24b8046fdf07eb24e4,1600856751.53693,1600856764.189455,12.652524948120117
50,28.0,02e72e67fbfd43cca72e67fbfd13cc5e,1600856751.635017,1600856766.7902458,15.155228853225708
51,34.0,02bb2634f9e3414dbb2634f9e3c14db7,1600856751.7369092,1600856764.232956,12.496046781539917
52,14.0,1298bf1998d142bf98bf1998d122bff3,1600856751.837603,1600856768.6417012,16.80409812927246
53,16.0,ea8fc3fd4bfd41158fc3fd4bfd511519,1600856751.943685,1600856764.2775838,12.333898782730103
54,19.0,6ff5845d7c4843e6b5845d7c48c3e684,1600856752.050129,1600856766.83008,14.779951095581055
55,71.0,96a88ca51c9c47a3a88ca51c9c27a3cf,1600856752.1568599,1600856764.321428,12.164568185806274
56,23.0,ea508275508145eb9082755081d5eb69,1600856752.257814,1600856770.139842,17.882028102874756
57,10.0,f26bc3307c544c7fabc3307c54ac7f35,1600856752.362825,1600856764.3714519,12.008626937866211
58,30.0,697971ff6985456bb971ff6985456b2e,1600856752.459949,1600856766.871708,14.41175889968872
59,80.0,2fa86701cccc4188a86701cccc218899,1600856752.555398,1600856764.4166179,11.861219882965088
60,66.0,1e9358666584445d9358666584a45d74,1600856752.653604,1600856768.684395,16.03079104423523
61,76.0,687ffcc5ef824bf3bffcc5ef821bf3d3,1600856752.7579362,1600856764.463653,11.705716848373413
62,88.0,d6a782dd35564cc1a782dd35561cc137,1600856752.863591,1600856766.916057,14.05246615409851
63,13.0,08ad53f9a9234f0ead53f9a9231f0e2d,1600856752.964025,1600856764.5080562,11.544031143188477
64,36.0,5c7aef39eef34a61baef39eef39a6185,1600856753.0668101,1600856771.420243,18.35343289375305
65,97.0,292e70421cbc4c7fae70421cbc9c7f61,1600856753.170773,1600856764.557497,11.38672399520874
66,61.0,25538e4d08f9424a938e4d08f9a24abb,1600856753.270766,1600856766.958957,13.688190937042236
67,40.0,b23e142b8c2449ffbe142b8c24f9ff84,1600856753.37152,1600856764.59688,11.225359916687012
68,41.0,6161c7cd4bd14dc9a1c7cd4bd12dc9bc,1600856753.470732,1600856768.732206,15.261474132537842
69,65.0,8248ef0030a94fea88ef0030a9dfea0a,1600856753.5751328,1600856764.640331,11.065198183059692
70,50.0,442bd38537c94ba2abd38537c9bba270,1600856753.674212,1600856767.003383,13.329170942306519
71,90.0,f876a3ba56af4f10b6a3ba56af6f107a,1600856753.782105,1600856764.682772,10.900666952133179
72,48.0,cda177b92dc54cf3a177b92dc55cf30d,1600856753.885037,1600856770.185428,16.30039095878601
73,89.0,4114dff2b887443994dff2b887a439a7,1600856753.983936,1600856764.727869,10.743932962417603
74,29.0,958eef48782d4c6b8eef48782dcc6b3c,1600856754.085011,1600856767.0478,12.962789058685303
